origin_lat,origin_lon,destination_lat,destination_lon,travel_time_minutes
54.923878699999996,23.7934989,54.9226289,23.7951405,2.0
54.9226289,23.7951405,54.9207982,23.8026861,7.0
54.9207982,23.8026861,54.920795899999995,23.8034592,1.0
54.920795899999995,23.8034592,54.9207993,23.8042905,1.0
54.9207993,23.8042905,54.920826,23.8062038,2.0
54.920826,23.8062038,54.920831199999995,23.8071991,1.0
54.920831199999995,23.8071991,54.920834199999994,23.8074189,1.0
54.920834199999994,23.8074189,54.920856699999995,23.8099134,2.0
54.920856699999995,23.8099134,54.920828699999994,23.810948399999997,1.0
54.920828699999994,23.810948399999997,54.9207624,23.8128258,2.0
54.9207624,23.8128258,54.9207463,23.8133177,1.0
54.9207463,23.8133177,54.920668899999995,23.815691599999997,2.0
54.920668899999995,23.815691599999997,54.9206544,23.8161341,1.0
54.9206544,23.8161341,54.9206104,23.817484,1.0
54.923878699999996,23.7934989,54.928018599999994,23.792780699999998,6.0
54.923878699999996,23.7934989,54.924122,23.7942958,1.0
54.924122,23.7942958,54.925846299999996,23.8019413,8.0
54.925846299999996,23.8019413,54.926198899999996,23.804034899999998,2.0
54.926198899999996,23.804034899999998,54.927929199999994,23.806079399999998,4.0
54.927929199999994,23.806079399999998,54.9284591,23.805899,1.0
54.9284591,23.805899,54.9296715,23.8058032,2.0
54.9296715,23.8058032,54.929807999999994,23.8075156,2.0
54.929807999999994,23.8075156,54.9311636,23.8130724,6.0
54.9311636,23.8130724,54.9327774,23.812842099999997,2.0
54.9327774,23.812842099999997,54.9328234,23.812846999999998,1.0
54.9328234,23.812846999999998,54.9340669,23.8130213,2.0
54.9340669,23.8130213,54.9342986,23.814392599999998,1.0
54.9342986,23.814392599999998,54.934342199999996,23.8146608,1.0
54.934342199999996,23.8146608,54.934704399999994,23.816884299999998,2.0
54.934704399999994,23.816884299999998,54.9351941,23.8166293,1.0
54.9351941,23.8166293,54.9379121,23.8152896,4.0
54.9379121,23.8152896,54.9379674,23.815263899999998,1.0
54.9379674,23.815263899999998,54.9393241,23.814615999999997,2.0
54.928018599999994,23.792780699999998,54.923878699999996,23.7934989,6.0
54.923878699999996,23.7934989,54.924122,23.7942958,1.0
54.924122,23.7942958,54.925846299999996,23.8019413,8.0
54.925846299999996,23.8019413,54.926198899999996,23.804034899999998,2.0
54.926198899999996,23.804034899999998,54.927929199999994,23.806079399999998,4.0
54.927929199999994,23.806079399999998,54.9284591,23.805899,1.0
54.9284591,23.805899,54.9296715,23.8058032,2.0
54.9296715,23.8058032,54.929807999999994,23.8075156,2.0
54.929807999999994,23.8075156,54.9311636,23.8130724,6.0
54.9311636,23.8130724,54.9327774,23.812842099999997,2.0
54.9327774,23.812842099999997,54.9328234,23.812846999999998,1.0
54.9328234,23.812846999999998,54.9340669,23.8130213,2.0
54.9340669,23.8130213,54.9342986,23.814392599999998,1.0
54.9342986,23.814392599999998,54.934342199999996,23.8146608,1.0
54.934342199999996,23.8146608,54.934704399999994,23.816884299999998,2.0
54.934704399999994,23.816884299999998,54.9351941,23.8166293,1.0
54.9351941,23.8166293,54.9379121,23.8152896,4.0
54.9379121,23.8152896,54.9379674,23.815263899999998,1.0
54.9379674,23.815263899999998,54.9393241,23.814615999999997,2.0
54.928018599999994,23.792780699999998,54.923878699999996,23.7934989,6.0
54.923878699999996,23.7934989,54.924122,23.7942958,1.0
54.924122,23.7942958,54.925846299999996,23.8019413,8.0
54.925846299999996,23.8019413,54.926198899999996,23.804034899999998,2.0
54.926198899999996,23.804034899999998,54.927929199999994,23.806079399999998,4.0
54.927929199999994,23.806079399999998,54.9284591,23.805899,1.0
54.9284591,23.805899,54.9296715,23.8058032,2.0
54.9296715,23.8058032,54.929807999999994,23.8075156,2.0
54.929807999999994,23.8075156,54.9311636,23.8130724,6.0
54.9311636,23.8130724,54.9327774,23.812842099999997,2.0
54.9327774,23.812842099999997,54.9328234,23.812846999999998,1.0
54.9328234,23.812846999999998,54.9340669,23.8130213,2.0
54.9340669,23.8130213,54.9342986,23.814392599999998,1.0
54.9342986,23.814392599999998,54.934342199999996,23.8146608,1.0
54.934342199999996,23.8146608,54.934704399999994,23.816884299999998,2.0
54.934704399999994,23.816884299999998,54.9351941,23.8166293,1.0
54.9351941,23.8166293,54.9379121,23.8152896,4.0
54.9379121,23.8152896,54.9379674,23.815263899999998,1.0
54.9379674,23.815263899999998,54.9393241,23.814615999999997,2.0
54.9393241,23.814615999999997,54.940363899999994,23.814108599999997,2.0
54.940363899999994,23.814108599999997,54.942501299999996,23.8134831,3.0
54.942501299999996,23.8134831,54.9450392,23.8120753,4.0
54.9450392,23.8120753,54.9445367,23.8102369,2.0
54.9445367,23.8102369,54.944079599999995,23.8086138,1.0
54.944079599999995,23.8086138,54.9432213,23.805496899999998,3.0
54.9432213,23.805496899999998,54.9428777,23.8041876,1.0
54.9428777,23.8041876,54.9422548,23.8018215,2.0
54.9422548,23.8018215,54.942236199999996,23.801750199999997,1.0
54.942236199999996,23.801750199999997,54.941476599999994,23.7987973,2.0
54.928018599999994,23.792780699999998,54.923878699999996,23.7934989,6.0
54.923878699999996,23.7934989,54.924122,23.7942958,1.0
54.924122,23.7942958,54.925846299999996,23.8019413,8.0
54.925846299999996,23.8019413,54.926198899999996,23.804034899999998,2.0
54.926198899999996,23.804034899999998,54.927929199999994,23.806079399999998,4.0
54.927929199999994,23.806079399999998,54.9284591,23.805899,1.0
54.9284591,23.805899,54.9296715,23.8058032,2.0
54.9296715,23.8058032,54.929807999999994,23.8075156,2.0
